Song,Artist,sentiment_category
I Don't Want to Be - Radio Edit,Gavin DeGraw,positive
I Fall Apart,Post Malone,positive
If It Means a Lot to You,A Day To Remember,positive
"i hate u, i love u (feat. olivia o'brien)",gnash,positive
I Just Had Sex,The Lonely Island,positive
I Just Want You,Cole Swindell,positive
I Knew You Were Trouble.,Taylor Swift,negative
I Know What You Did Last Summer,Shawn Mendes,positive
I Left My Home,Mjhanks,positive
I Like It,Cardi B,negative
"I Like It, I Love It",Tim McGraw,positive
I Like To Move It,will.i.am,negative
I Like You (A Happier Song) (with Doja Cat),Post Malone,negative
I Love College,Asher Roth,negative
I Love My Country,Florida Georgia Line,negative
ily (i love you baby) (feat. Emilee),Surf Mesa,positive
I'm an Albatraoz,AronChupa,negative
I'm Gonna Be (500 Miles),The Proclaimers,positive
I'm Good,The Mowgli's,positive
I'm Good (Blue),David Guetta,positive
I'm in a Hurry (And Don't Know Why),Alabama,positive
I Miss You,blink-182,negative
Immortals,Fall Out Boy,positive
I'm Ready,AJR,positive
I’m So Sorry,Imagine Dragons,positive
In Between,Beartooth,positive
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,negative
I Need Your Love (feat. Ellie Goulding),Calvin Harris,positive
Inside Out (feat. Charlee) - DubVision Remix,The Chainsmokers,positive
In the Name of Love,Martin Garrix,positive
Into You,Ariana Grande,positive
In Your Eyes,The Weeknd,positive
I Put A Spell On You,Creedence Clearwater Revival,negative
I Quit Drinking,Kelsea Ballerini,negative
I Really Wish I Hated You,blink-182,positive
Irresistible,Fall Out Boy,positive
"The Island, Pt. I (Dawn)",Pendulum,positive
iSpy (feat. Lil Yachty),KYLE,positive
Issues,Julia Michaels,negative
It Ain’t Me (with Selena Gomez),Kygo,positive
It Ain't My Fault,Brothers Osborne,negative
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,positive
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,positive
It's A Great Day To Be Alive,Travis Tritt,positive
It's Called: Freefall,Rainbow Kitten Surprise,positive
It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson,positive
I WANNA BE YOUR SLAVE,Måneskin,positive
I Wanna Get Better,Bleachers,positive
I Want It That Way,Backstreet Boys,positive
I Was On a Boat That Day,Old Dominion,positive
I Write Sins Not Tragedies,Panic! At The Disco,positive
Jackie Chan,Tiësto,positive
Jet Pack Blues,Fall Out Boy,positive
Jimmy Choo,Fetty Wap,positive
Juliet - Single Edit,LMNT,positive
Jungle,X Ambassadors,positive
Just Drive,Erin Kinsey,positive
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,positive
Just Look Up (From Don’t Look Up),Ariana Grande,positive
Kamikaze,Eminem,positive
Kanye,The Chainsmokers,positive
Kids,MGMT,positive
The Kids Aren't Alright,Fall Out Boy,positive
The Kids Aren't Alright,The Offspring,positive
Kill Em With Kindness,Selena Gomez,positive
killer queen,Mad Tsai,positive
Killshot,Eminem,negative
Kinda Like It Now,MOD SUN,negative
The Kind of Love We Make,Luke Combs,positive
Kinfolks,Sam Hunt,positive
King Kunta,Kendrick Lamar,positive
Kiss Me More (feat. SZA),Doja Cat,positive
Knife Talk (with 21 Savage ft. Project Pat),Drake,positive
Knock Knock,Mac Miller,positive
Kokomo,The Beach Boys,positive
Kool Aid & Frozen Pizza,Mac Miller,positive
Ladies And Gentlemen,Saliva,positive
Ladies Love Country Boys,Trace Adkins,positive
Lady Killers (feat. Hoodie Allen),G-Eazy,positive
Lady May,Tyler Childers,positive
Last Night,Morgan Wallen,negative
The Last Of The Real Ones,Fall Out Boy,positive
Last Resort,Papa Roach,negative
Lay It All on Me (feat. Ed Sheeran),Rudimental,positive
